Gene	logFC	logCPM	PValue	FDR		Gene	B56	B57	B58	Y59	Y60	Y61	Y62		Comparison	of	groups:	Yaa-B6
Icos	1.34E+00	5.37551933	1.14E-36	2.50E-34		Icos	24.56242048	20.86709489	22.32773136	51.15211283	54.98134501	52.58977619	63.28265237					
Bub1b	1.68E+00	5.694129113	1.17E-36	2.53E-34		Bub1b	20.72060599	18.2817911	30.87051553	62.07839946	82.82356065	65.93743512	80.06920857					
Tmsb4x	8.36E-01	11.87188926	1.81E-36	3.85E-34		Tmsb4x	2633.028495	2613.557469	2648.651402	4668.515386	4770.36992	4624.429913	4178.187163					
Parm1	4.38E+00	1.735660638	2.16E-36	4.50E-34		Parm1	0.125961131	0.369329113	0.32359031	5.493663669	6.046541779	4.271250858	6.727945146					
Hccs	1.10E+00	5.671283544	4.69E-36	9.63E-34		Hccs	31.4273021	32.93184591	29.8997446	62.99401008	68.69152695	63.06768845	67.01299819					
H1f0	1.48E+00	5.416241618	1.48E-35	2.99E-33		H1f0	23.49175087	21.79041767	19.09182826	50.48066505	71.78510647	51.72217836	59.61891986					
Siglech	-1.29E+00	5.569992694	2.15E-35	4.28E-33		Siglech	73.750242	80.5753015	64.26503548	32.41261565	28.54530189	30.63287725	23.58111467					
Fut8	1.37E+00	5.672832206	7.52E-35	1.47E-32		Fut8	25.31818726	25.85303791	30.48220716	56.82889862	83.2454124	68.87392008	65.48089187					
Spock2	2.55E+00	3.496516783	1.02E-34	1.97E-32		Spock2	3.526911659	3.200852313	2.394568291	14.71081049	15.2569717	16.48435878	23.11482144					
Sdc1	1.98E+00	5.028265642	1.08E-34	2.06E-32		Sdc1	13.03697702	13.60362233	10.35488991	38.5777271	62.29344205	53.6575889	35.83796523					
H2afx	1.18E+00	5.605102889	1.43E-34	2.67E-32		H2afx	27.90039044	26.83791555	31.90600452	59.27052692	64.82455256	59.8642503	69.34446433					
Hsp90b1	1.25E+00	10.05696509	9.52E-33	1.75E-30		Hsp90b1	577.5317841	611.8552306	621.4228305	1164.717739	1754.481437	1526.972182	1161.736271					
Cenpe	1.83E+00	5.708186035	1.07E-32	1.94E-30		Cenpe	18.01244168	16.06581642	31.06466972	64.09274281	82.89386927	65.80395853	86.06440722					
Rassf6	2.65E+00	3.673012481	3.43E-32	6.13E-30		Rassf6	4.093736747	3.447071722	2.135696043	16.60307242	21.79567385	14.61568653	26.17903408					
Tgtp2	1.31E+00	5.378262107	5.18E-32	9.13E-30		Tgtp2	25.2552067	21.236424	22.71603973	65.13043484	52.02838275	53.39063572	50.22644198					
Ifit1	2.39E+00	4.603860746	5.74E-32	9.98E-30		Ifit1	6.864881621	8.740789009	6.212933944	49.80921727	29.45931402	43.91379788	23.84756794					
Psmb9	8.92E-01	7.174423822	7.56E-32	1.30E-29		Psmb9	108.4525335	92.33227826	95.84744969	182.7558781	171.2015027	169.3817918	187.9161709					
Marcks	-9.41E-01	6.975232833	7.85E-32	1.33E-29		Marcks	160.1595776	188.3578477	179.6573399	94.18581158	93.58078032	92.4325381	75.8059562					
Lphn2	2.34E+00	3.415349598	1.26E-31	2.10E-29		Lphn2	2.645183744	3.939510539	3.235903096	13.85624059	19.33487197	13.48113552	18.05220925					
Lmnb1	1.02E+00	7.010137052	2.33E-31	3.84E-29		Lmnb1	79.41849288	75.52780362	92.48211047	146.9860235	171.6936631	148.0255375	185.2516381					
Gad1	-2.05E+00	3.513819272	3.56E-31	5.78E-29		Gad1	24.37347878	19.75910755	17.02085028	5.859907914	4.640369272	4.604942331	3.930185779					
Trp73	6.54E+00	1.292590277	7.08E-31	1.14E-28		Trp73	0	0.123109704	0	3.418279616	6.257467655	2.202363724	5.195838826					
Txndc11	1.01E+00	6.795299519	1.10E-30	1.75E-28		Txndc11	70.97909713	76.57423611	66.85375795	128.4296484	165.0846523	141.6853995	125.566105					
Enpp1	1.03E+00	5.710175585	1.98E-30	3.10E-28		Enpp1	33.88354415	34.40916237	32.10015871	60.97966673	71.15232884	63.46811822	69.81075756					
Rgs16	3.08E+00	2.645704917	2.98E-30	4.60E-28		Rgs16	1.070669611	1.600426157	0.970770929	9.400268945	7.312097035	9.276622957	13.98879684					
Tox	1.48E+00	4.653689353	3.54E-30	5.41E-28		Tox	14.42254946	12.18786073	11.45509696	34.18279616	33.88875741	30.43266236	39.10201783					
H2-Q6	1.07E+00	7.912371085	4.44E-30	6.69E-28		H2-Q6	177.4792331	138.6215271	135.6490578	305.6918628	272.09438	302.0575216	346.9221616					
Rgs13	2.86E+00	3.100212822	6.13E-30	9.13E-28		Rgs13	3.149028267	1.354206748	1.229643176	11.41461229	13.35863881	11.87941645	17.38607607					
Oas1a	2.14E+00	4.375435266	1.11E-29	1.64E-27		Oas1a	5.227386922	7.078808	9.384118977	39.55437842	22.56906873	33.63610051	26.84516727					
Rtp4	1.94E+00	4.969443105	1.26E-29	1.84E-27		Rtp4	9.321123669	12.24941558	15.33818067	57.50034641	34.66215229	52.25608471	36.50409842					
Gpm6b	1.51E+00	4.814250048	1.70E-29	2.45E-27		Gpm6b	15.68216077	14.46539026	11.58453308	35.58673244	37.4744973	34.9708664	46.49609616					
Fam46c	1.33E+00	6.095327308	2.18E-29	3.10E-27		Fam46c	30.92345758	37.85623409	42.6492028	75.93464005	115.3764542	93.16665934	81.00179503					
Edem1	9.25E-01	8.589076676	6.12E-29	8.62E-27		Edem1	259.7318514	264.6243095	249.5528467	425.5758123	560.9925216	486.9225978	438.5154742					
Serpina3f	1.88E+00	4.004734986	6.68E-29	9.29E-27		Serpina3f	6.298056533	6.032375513	7.11898681	22.34089892	21.72536523	19.08715227	29.37647336					
Top2a	1.66E+00	7.87881477	1.21E-28	1.66E-26		Top2a	85.96847168	81.86795339	153.2523706	281.2755799	377.1354663	281.8358183	376.2320216					
Psat1	1.18E+00	5.551366587	1.61E-28	2.19E-26		Psat1	27.71144875	26.65325099	28.47594724	55.24184023	70.80078571	51.65544006	66.94638487					
Manf	1.04E+00	6.694055185	1.89E-28	2.55E-26		Manf	60.52432328	67.64878254	68.01868307	111.826576	160.1630485	131.5411788	122.9681855					
Foxm1	1.52E+00	5.027182041	3.08E-28	4.10E-26		Foxm1	13.9816855	13.66517718	20.58034369	38.88293064	50.83313612	39.77602361	49.82676207					
Ell2	1.12E+00	6.189745411	3.81E-28	5.03E-26		Ell2	43.39360951	41.36486066	48.47382837	77.27753562	111.8610229	98.10529314	89.06200654					
Serpina3g	9.10E-01	7.469291913	6.88E-28	8.98E-26		Serpina3g	113.4909787	120.6475103	126.0707846	214.4360052	223.0189596	187.9350377	250.8657566					
Aif1l	4.33E+00	0.986233845	8.10E-28	1.05E-25		Aif1l	0.251922261	0.123109704	0.129436124	3.723483154	2.952962264	3.270176438	3.463892551					
Racgap1	1.09E+00	5.932670098	1.06E-27	1.35E-25		Racgap1	34.45036924	34.77849148	44.65546272	75.38527369	84.44065903	69.20761156	83.53310112					
Nlrc5	8.83E-01	8.045201898	1.16E-27	1.47E-25		Nlrc5	196.1214804	180.6019363	168.0728068	357.3323013	305.3503598	295.7841219	338.7953368					
Trf	-1.36E+00	7.425463698	1.40E-27	1.76E-25		Trf	176.7864469	313.8066364	315.1769615	104.6237725	109.4705296	106.3141034	86.13102054					
Ccr3	-1.43E+00	4.847865837	2.44E-27	3.03E-25		Ccr3	36.59170846	52.99872772	47.2441852	15.74850252	15.74913208	20.0214884	14.18863679					
Dusp14	3.69E+00	1.36627589	4.17E-27	5.12E-25		Dusp14	0.251922261	0.55399367	0.194154186	3.296198202	4.921603773	4.137774269	4.796158916					
Cd209a	-1.85E+00	3.616711807	5.45E-27	6.62E-25		Cd209a	17.13071377	24.0679472	22.19829524	5.371582254	6.679319407	6.406876287	4.396479007					
Als2cl	-1.02E+00	6.648951199	7.10E-27	8.55E-25		Als2cl	128.6063144	147.3007613	156.0999653	81.73350726	66.58226819	69.74151791	55.42228081					
Ptpn13	1.93E+00	3.844191768	7.21E-27	8.60E-25		Ptpn13	6.864881621	4.678168765	5.306881077	18.67845648	20.74104447	17.95260126	25.97919413					
Lhfpl4	4.35E+00	1.187056004	1.81E-26	2.14E-24		Lhfpl4	0.062980565	0.307774261	0.194154186	2.38058759	4.499752021	3.937559385	4.66293228					
Cxcl10	2.48E+00	2.739847966	2.24E-26	2.62E-24		Cxcl10	1.952397525	2.27752953	1.423797362	10.49900168	9.069812668	8.342286832	13.05621038					
2010317E24Rik	2.55E+00	2.794667855	3.47E-26	4.02E-24		2010317E24Rik	1.700475264	1.661981009	2.265132167	8.240495504	12.93678706	8.60924001	13.1228237					
Prdx4	1.47E+00	5.00713653	4.53E-26	5.20E-24		Prdx4	13.47784098	16.43514553	18.76823795	37.90627932	57.37183827	40.37666827	40.16783092					
Fkbp11	2.46E+00	2.888894227	4.93E-26	5.61E-24		Fkbp11	2.204319787	2.215974678	1.876823795	8.484658334	14.6945027	12.74701428	9.592317832					
Nek2	1.94E+00	5.079030219	5.39E-26	6.08E-24		Nek2	9.510065365	10.40277002	19.5448547	38.02836073	54.70011051	43.24641494	59.95198645					
Ikzf2	1.12E+00	5.806529347	5.92E-26	6.61E-24		Ikzf2	38.67006711	35.70181426	27.95820275	72.45531973	69.81646496	63.80180969	82.0009948					
Cdc20	1.60E+00	5.405067242	1.15E-25	1.27E-23		Cdc20	17.4456166	15.08093878	27.31102213	48.64944383	69.1133787	50.72110394	67.01299819					
Cd209d	-2.40E+00	2.18891702	1.17E-25	1.29E-23		Cd209d	9.069201408	9.541002087	6.989550686	1.159773441	1.968641509	1.334765893	1.865172912					
Hells	1.16E+00	5.331669525	1.25E-25	1.36E-23		Hells	21.35041165	23.14462442	27.56989437	49.07672878	57.7233814	45.58225525	56.82116049					
Pon3	1.85E+00	4.323253672	1.46E-25	1.58E-23		Pon3	7.55766784	8.433014748	8.47806611	21.79153256	39.16190431	31.30026019	22.98159481					
Lman1	8.85E-01	6.551295919	1.49E-25	1.60E-23		Lman1	56.55654767	67.52567284	68.66586369	104.2575283	129.5084879	114.5229136	114.0420009					
Cfb	1.66E+00	4.1501335	1.84E-25	1.95E-23		Cfb	8.439395754	7.325027409	8.607502234	30.76451655	25.17048787	20.42191816	23.04820813					
Vdr	3.41E+00	1.684377299	3.40E-25	3.58E-23		Vdr	0.566825088	0.492438817	0.453026433	4.089727398	5.062221024	4.337989152	7.527304966					
Ncapd2	9.89E-01	7.203202785	4.07E-25	4.25E-23		Ncapd2	89.81028616	85.13036056	112.9977361	166.3359278	202.2779151	163.3753453	208.1666196					
Tpx2	1.66E+00	5.521974347	4.39E-25	4.54E-23		Tpx2	16.43792755	16.00426157	30.48220716	54.08206679	72.6991186	56.32712069	74.07400993					
Mrc1	-1.03E+00	6.532383428	4.80E-25	4.93E-23		Mrc1	110.6568533	141.0837212	146.9100005	59.45364904	68.48060108	72.4110497	52.02500158					
Clec9a	-1.22E+00	4.553525536	5.33E-25	5.43E-23		Clec9a	32.18306888	35.14782059	38.70140102	15.68746181	14.55388544	15.28306948	13.25605034					
Cdca2	1.85E+00	4.314745568	5.72E-25	5.78E-23		Cdca2	5.983153706	6.955698296	11.51981502	23.37859095	31.56857278	25.69424344	33.70633905					
Slc40a1	-1.02E+00	8.109870001	9.39E-25	9.40E-23		Slc40a1	341.9844697	426.9444547	416.1371381	194.2925718	219.7144542	199.9479308	145.0838072					
Ecel1	5.47E+00	0.751808436	1.08E-24	1.07E-22		Ecel1	0.125961131	0	0.064718062	2.38058759	2.460801887	2.135625429	4.66293228					
Rgs9	2.51E+00	2.52806472	1.20E-24	1.18E-22		Rgs9	1.511533568	1.785090713	1.488515424	7.446966307	8.43703504	7.674903885	11.99039729					
Steap4	-3.26E+00	4.651509444	1.70E-24	1.66E-22		Steap4	12.7220742	67.8334471	76.82033949	5.554704377	5.765307278	5.672755046	4.26325237					
Xaf1	1.02E+00	6.680885429	2.00E-24	1.95E-22		Xaf1	61.90989572	65.49436271	70.67212361	155.8979668	110.525159	136.4798126	114.2418409					
Aurkb	1.34E+00	5.152926764	2.10E-24	2.02E-22		Aurkb	18.57926677	16.49670038	23.03963004	40.71415186	50.41128437	42.04512563	57.02100045					
Ifi47	7.84E-01	6.834537263	2.58E-24	2.46E-22		Ifi47	83.95309359	80.5753015	82.70968312	152.4186465	134.2191658	134.8113552	128.0307977					
Galnt6	-7.57E-01	6.952880524	3.25E-24	3.09E-22		Galnt6	158.8369858	169.5220629	164.4485953	100.350923	93.44016307	99.64027392	83.39987449					
Hspa5	7.42E-01	9.194298447	3.57E-24	3.36E-22		Hspa5	394.8251641	438.8245412	456.0034642	653.1355696	774.1682736	707.359185	664.3346232					
Actn1	-9.35E-01	7.433222832	3.64E-24	3.41E-22		Actn1	206.4502932	269.7333622	249.0351022	137.1584696	124.6571927	128.6046938	99.65352415					
Axl	-8.82E-01	7.260044609	3.92E-24	3.64E-22		Axl	183.7143091	220.7972548	228.4547585	114.5123672	121.2120701	117.3926603	91.39347268					
