Gene	logFC	logCPM	PValue	FDR		Gene	B56	B57	B58	Y59	Y60	Y61	Y62		Comparison	of	groups:	Yaa-B6
Tmem8b	-3.13E-01	2.954367426	7.54E-02	1.82E-01		Tmem8b	7.998531797	10.21810546	8.348629987	7.080722063	6.679319407	6.206661403	7.727144921					
Snx15	-2.08E-01	4.484979488	7.54E-02	1.82E-01		Snx15	22.79896465	25.42215395	25.8225067	22.46298034	19.26456334	21.48973088	19.51770226					
Ppp1r12b	-2.28E-01	4.138746416	7.57E-02	1.82E-01		Ppp1r12b	18.76820847	20.18999151	19.60957276	15.68746181	16.3819097	17.15174173	15.58751648					
Adck2	-1.81E-01	4.959592889	7.57E-02	1.83E-01		Adck2	33.69460245	35.2709303	32.74733933	28.56705108	28.47499326	29.16463476	29.97599323					
Prdm4	1.49E-01	5.729244357	7.58E-02	1.83E-01		Prdm4	52.08492753	52.2600695	48.08552	55.54704377	53.99702426	53.99128037	55.22244085					
Cklf	-2.10E-01	4.355069153	7.59E-02	1.83E-01		Cklf	22.169159	22.89840501	22.65132167	20.63175911	17.08499596	18.82019909	18.98479571					
Anxa3	-3.06E-01	3.259198012	7.59E-02	1.83E-01		Anxa3	8.880259712	10.83365398	13.13776657	9.827553897	8.718269542	8.475763421	7.194238374					
Prkcb	-1.19E-01	9.545462844	7.62E-02	1.83E-01		Prkcb	850.6155154	796.7660066	741.2159631	729.2533318	690.571318	724.3774502	700.505655					
Sertad2	1.44E-01	6.002298619	7.62E-02	1.83E-01		Sertad2	59.70557593	60.44686484	64.52390773	64.8252313	65.45733019	65.73722023	67.94558465					
Hoxb3	-5.30E-01	0.619150594	7.62E-02	1.84E-01		Hoxb3	1.448553003	2.27752953	1.941541857	1.403936271	0.773394879	1.534980777	1.332266366					
Ankrd37	3.18E-01	3.003391857	7.64E-02	1.84E-01		Ankrd37	7.431706709	6.340149774	7.701449367	7.3859256	8.29641779	8.809454894	10.1918377					
Cbwd1	2.94E-01	3.101481085	7.64E-02	1.84E-01		Cbwd1	7.368726144	7.509691965	8.348629987	8.667780456	8.999504043	9.944005903	9.259251241					
Nae1	-1.51E-01	5.708808442	7.65E-02	1.84E-01		Nae1	55.92674201	58.72332898	54.36317201	47.67279251	48.30202561	52.25608471	49.02740225					
Hhat	-4.12E-01	1.576431995	7.66E-02	1.84E-01		Hhat	3.652872789	3.693291131	3.235903096	3.052035372	2.742036388	2.202363724	2.264852822					
Tmem173	1.18E-01	7.244400119	7.66E-02	1.84E-01		Tmem173	147.1855812	150.0707296	143.8682516	155.2875597	156.7179259	158.6369264	149.2804463					
Trpm7	-1.17E-01	7.487546816	7.66E-02	1.84E-01		Trpm7	191.5238992	192.2358033	189.170895	170.9139808	174.4356995	171.7843704	166.8663623					
Hist1h1e	-6.37E-01	-0.061566675	7.66E-02	1.84E-01		Hist1h1e	1.385572437	1.231097044	1.035488991	0.671447782	0.562469003	0.533906357	1.265653047					
Stxbp4	-2.77E-01	3.348761054	7.67E-02	1.84E-01		Stxbp4	10.64371554	11.57231221	12.29643176	8.789861871	8.718269542	9.143146368	10.1918377					
Capns1	1.17E-01	7.317459778	7.68E-02	1.84E-01		Capns1	157.9552579	153.8871304	152.2815997	159.3772871	164.3112574	161.3731965	166.9995889					
AW554918	-2.42E-01	4.081057728	7.68E-02	1.85E-01		AW554918	19.64993638	19.6975527	17.21500447	15.80954323	15.04604582	17.35195661	13.72234357					
Fbxl3	-1.23E-01	6.777137799	7.68E-02	1.85E-01		Fbxl3	117.647696	113.6302571	119.8578507	106.2108309	103.6349137	107.4486544	99.65352415					
Fahd1	-3.50E-01	2.457786795	7.69E-02	1.85E-01		Fahd1	5.983153706	5.724601252	7.377859058	3.967645983	4.991912399	5.072110394	5.395678781					
Hip1r	1.50E-01	8.244071492	7.70E-02	1.85E-01		Hip1r	336.6941023	280.0130225	254.1478291	323.2715866	289.9527709	315.5386571	320.6099009					
Kctd6	-2.83E-01	3.407887278	7.71E-02	1.85E-01		Kctd6	11.46246289	13.04962866	11.45509696	8.789861871	10.40567655	8.809454894	10.39167765					
Mrpl44	2.02E-01	4.582571911	7.71E-02	1.85E-01		Mrpl44	22.48406182	24.12950205	20.64506175	24.11107944	27.06882075	25.22707538	24.0474079					
Hscb	2.47E-01	3.939089006	7.71E-02	1.85E-01		Hscb	12.84803533	15.08093878	14.43212781	17.57972374	16.1006752	16.01719072	15.25444989					
Sgsm2	-2.27E-01	4.243215985	7.72E-02	1.85E-01		Sgsm2	21.03550882	21.05175944	20.96865206	18.19013082	15.60851482	15.68349924	20.0506088					
Med9	2.09E-01	4.410404321	7.73E-02	1.85E-01		Med9	19.46099469	19.88221725	20.32147144	23.50067236	22.56906873	21.02256282	22.04900835					
Fam83f	4.30E-01	1.493907304	7.73E-02	1.85E-01		Fam83f	2.83412544	2.154419826	2.200414105	3.235157494	3.234196765	2.803008375	3.264052596					
Clk1	-1.15E-01	8.729609397	7.73E-02	1.85E-01		Clk1	442.7533743	457.4756614	454.8385391	412.5131009	387.4005256	410.9744185	407.273828					
Hdac9	-1.68E-01	5.536099204	7.74E-02	1.86E-01		Hdac9	50.00656887	55.64558637	45.10848915	41.93496601	45.20844609	45.24856378	41.83316388					
Krba1	-1.65E-01	5.467887132	7.75E-02	1.86E-01		Krba1	48.8729187	51.70607583	43.16694729	41.75184389	41.0602372	40.57688315	42.76575034					
Cnpy3	-1.34E-01	6.512819117	7.75E-02	1.86E-01		Cnpy3	102.7842826	98.67242804	91.89964791	85.76219395	82.19078302	91.83189344	86.26424717					
Rpl21	1.11E-01	10.02073793	7.75E-02	1.86E-01		Rpl21	1025.071681	1013.623751	991.7395807	1030.000897	1061.379008	1068.146406	1078.536236					
Rcl1	1.74E-01	5.186510984	7.75E-02	1.86E-01		Rcl1	35.20613602	34.28605266	34.04170057	36.1360988	38.88066981	35.97194082	40.36767088					
Igbp1	1.41E-01	6.081478631	7.75E-02	1.86E-01		Igbp1	64.93296286	63.5861623	66.78903989	70.19681355	71.08202021	65.73722023	71.60931715					
Gimap6	-1.24E-01	9.020996763	7.76E-02	1.86E-01		Gimap6	576.4611145	553.9321147	532.9532398	490.9504099	481.6140835	541.2475696	461.2972291					
Rraga	1.48E-01	6.087676376	7.77E-02	1.86E-01		Rraga	70.41227204	65.18658845	59.67005308	65.43563837	68.41029245	72.67800288	74.07400993					
Slc39a3	-1.93E-01	4.728327972	7.78E-02	1.86E-01		Slc39a3	27.39654592	29.91565816	29.83502654	26.2475042	22.92061186	24.69316902	24.58031445					
2900097C17Rik	1.16E-01	8.142107155	7.78E-02	1.86E-01		2900097C17Rik	265.2741412	275.9504023	281.6530054	283.1068011	286.7185741	295.6506453	288.5022815					
Gm7694	-5.51E-01	0.797336052	7.78E-02	1.86E-01		Gm7694	1.88941696	1.292651896	3.300621157	1.037692026	1.687407008	1.268027598	1.731946275					
Cfdp1	1.54E-01	5.751186745	7.78E-02	1.86E-01		Cfdp1	48.11715191	51.45985642	54.94563456	55.66912518	60.18418329	51.32174859	55.35566749					
Cd96	-2.37E-01	4.288447918	7.80E-02	1.87E-01		Cd96	20.90954769	22.6521856	21.87470493	22.52402104	15.18666307	17.61890979	15.98719639					
Ddx27	1.27E-01	6.772696369	7.81E-02	1.87E-01		Ddx27	104.1068745	105.8743457	106.9142383	107.3095637	110.7360849	107.8490842	122.435279					
Apobec3	1.19E-01	8.712352905	7.81E-02	1.87E-01		Apobec3	408.1770439	411.2479674	401.2519839	446.7569377	410.9539151	425.3231518	430.921556					
Polk	-2.10E-01	4.37399178	7.81E-02	1.87E-01		Polk	22.98790635	23.14462442	22.32773136	17.82388657	19.54579784	19.88801181	19.51770226					
Gusb	1.37E-01	6.124093839	7.81E-02	1.87E-01		Gusb	65.12190455	67.21789858	68.92473594	67.57206313	76.07393261	73.27864753	70.07721083					
Tmem87a	-1.37E-01	6.159403	7.82E-02	1.87E-01		Tmem87a	78.53676497	77.866888	73.45500027	66.59541181	64.89486118	69.20761156	69.94398419					
Gphn	2.03E-01	4.630550252	7.82E-02	1.87E-01		Gphn	21.91723674	22.6521856	25.04588996	23.86691661	25.31110512	27.56291569	27.04500722					
Clu	2.89E-01	3.500376218	7.83E-02	1.87E-01		Clu	8.313434624	11.07987339	11.26094277	11.23149017	13.71018194	10.67812714	12.98959706					
Maged1	2.56E-01	3.89931851	7.84E-02	1.87E-01		Maged1	13.91870494	14.95782908	12.03755952	15.32121757	18.28024259	14.28199506	15.6541298					
1810058I24Rik	-1.71E-01	5.352638649	7.85E-02	1.87E-01		1810058I24Rik	45.84985156	43.27306108	43.87884598	36.44130234	42.4664097	37.23996842	37.10361828					
Dpagt1	2.12E-01	4.675389628	7.85E-02	1.88E-01		Dpagt1	21.66531447	22.34441134	27.56989437	24.72148651	26.71727763	26.56184127	29.30986004					
Pla2g4b	-2.07E-01	4.52203359	7.86E-02	1.88E-01		Pla2g4b	25.69607066	27.14568981	22.91019392	20.63175911	21.23320485	21.02256282	22.24884831					
Sez6l2	-3.82E-01	1.791418492	7.86E-02	1.88E-01		Sez6l2	4.093736747	4.2472848	3.818365653	3.357238909	2.742036388	2.736270081	3.197439277					
Syne2	-1.50E-01	5.634138256	7.86E-02	1.88E-01		Syne2	53.02963601	54.35293447	53.19824689	47.42862968	44.78659434	49.78676781	45.16382979					
Exosc8	1.42E-01	5.992496977	7.86E-02	1.88E-01		Exosc8	58.3200035	61.18552306	64.00616323	64.09274281	66.01979919	63.73507139	68.27865124					
1700106N22Rik	-3.15E-01	2.569592983	7.88E-02	1.88E-01		1700106N22Rik	6.486998229	6.709478887	7.183704872	5.24950084	4.991912399	5.539278456	5.395678781					
C230091D08Rik	-1.83E-01	5.06986283	7.88E-02	1.88E-01		C230091D08Rik	38.54410598	35.94803367	35.46549793	31.43596433	28.61561051	34.83738981	30.30905982					
Cdo1	-5.41E-01	0.552312285	7.89E-02	1.88E-01		Cdo1	1.574514133	1.908200417	1.941541857	1.098732734	1.476481132	1.00107442	1.265653047					
Chmp1b	-1.38E-01	6.100146311	7.89E-02	1.88E-01		Chmp1b	76.01754235	72.01917704	72.67838353	64.58106847	68.12905795	65.13657558	61.88377268					
Mrpl35	2.13E-01	4.330359718	7.90E-02	1.88E-01		Mrpl35	17.19369434	19.38977844	19.73900888	21.05904407	20.8113531	22.09037553	20.51690203					
Lass2	-1.19E-01	7.096993118	7.90E-02	1.88E-01		Lass2	146.051931	143.7921347	147.4924631	124.9503281	132.8129933	134.6778786	129.0966108					
Zfp703	-2.26E-01	4.29749598	7.92E-02	1.89E-01		Zfp703	19.77589751	21.60575311	24.07511903	19.28886355	19.26456334	18.41976932	15.3210632					
Lpcat1	-1.45E-01	6.081975146	7.92E-02	1.89E-01		Lpcat1	78.03292045	66.78701461	73.71387252	62.87192866	67.56658895	63.86854798	61.61731941					
Supt16h	1.23E-01	7.386232978	7.95E-02	1.89E-01		Supt16h	156.7586271	159.9810608	168.8494235	160.8422641	174.8575512	164.1762048	185.3848648					
0610031J06Rik	1.33E-01	6.370208267	7.95E-02	1.89E-01		0610031J06Rik	79.16657062	79.71353357	80.50926902	87.71549659	88.2373248	84.8243725	78.73694221					
Nhlrc1	-6.10E-01	0.181113728	7.95E-02	1.89E-01		Nhlrc1	1.007689045	1.908200417	1.3590793	0.793529197	1.406172507	0.667382947	0.799359819					
Zswim6	-1.77E-01	5.382027041	7.95E-02	1.89E-01		Zswim6	41.50419255	44.93504209	50.09177992	44.01035006	35.92770755	40.91057462	34.63892551					
Crot	-1.64E-01	5.299543286	7.95E-02	1.89E-01		Crot	44.40129856	40.9339767	42.77863892	39.55437842	35.7870903	36.03867911	36.23764514					
Usp10	1.37E-01	6.140843812	7.96E-02	1.89E-01		Usp10	67.01132151	66.97167917	69.70135268	67.81622596	75.23022911	72.01061993	75.20643634					
Ankrd13d	-2.05E-01	4.469371981	7.96E-02	1.89E-01		Ankrd13d	26.38885687	23.39084383	23.29850229	21.05904407	21.16289623	20.75560964	19.05140903					
Prpf4	1.54E-01	5.785777566	7.97E-02	1.89E-01		Prpf4	54.47818901	49.92098511	53.97486363	57.68346853	52.30961725	56.86102704	60.75134627					
R3hdm1	-1.22E-01	6.821007713	7.98E-02	1.90E-01		R3hdm1	122.3082579	114.922909	124.5822692	106.0887495	108.0643571	109.1171118	106.7811492					
Gnb2l1	1.07E-01	10.57573391	7.98E-02	1.90E-01		Gnb2l1	1469.021686	1492.397391	1499.970521	1543.231165	1575.264751	1525.103509	1574.472391					
Nxt1	2.37E-01	4.055628039	7.98E-02	1.90E-01		Nxt1	13.54082155	15.88115186	16.69725997	17.88492728	17.71777358	16.68457366	17.98559594					
Ankrd11	-1.16E-01	8.808598034	8.01E-02	1.90E-01		Ankrd11	484.8243919	487.5759841	459.6923938	449.2596067	411.8679272	427.5255156	419.5972918					
Srp68	1.23E-01	6.696195657	8.01E-02	1.90E-01		Srp68	97.99775966	100.765293	102.1898198	102.6704699	112.4234919	106.9814863	102.7843501					
Snora33	-5.89E-01	0.382973598	8.02E-02	1.90E-01		Snora33	1.385572437	2.462194087	1.035488991	1.220814149	0.843703504	1.134551009	0.999199774					
Txn2	1.31E-01	6.49612938	8.03E-02	1.91E-01		Txn2	85.0237632	85.43813482	90.7347228	87.77653729	96.46343396	88.02781065	98.3878711					
Snx27	-1.26E-01	6.724327418	8.03E-02	1.91E-01		Snx27	104.8626413	114.7997993	119.5342604	105.6614646	95.61973046	102.5100206	97.52189796					
Syce2	3.61E-01	2.772937338	8.04E-02	1.91E-01		Syce2	5.66825088	4.493504209	7.830885491	6.714477818	8.718269542	7.808380474	6.661331828					
Zfp275	-1.37E-01	6.115587859	8.06E-02	1.91E-01		Zfp275	79.29253175	71.52673823	72.41951128	69.03704011	63.62930593	65.40352876	64.1486255					
Btg2	1.24E-01	8.128316011	8.07E-02	1.91E-01		Btg2	273.5875758	272.8726597	265.7323622	289.7602382	289.1090674	306.8626788	259.7919413					
Slc16a3	-3.65E-01	3.939113951	8.07E-02	1.92E-01		Slc16a3	10.01390989	21.54419826	22.39244942	18.25117152	10.33536792	13.88156529	11.12442415					
Atf3	-4.21E-01	1.581284788	8.08E-02	1.92E-01		Atf3	3.967775616	3.262407165	3.430057281	2.990994664	2.601419137	2.936484965	1.731946275					
Zfp566	-2.88E-01	3.135167657	8.08E-02	1.92E-01		Zfp566	10.07689045	9.417892383	10.41960797	9.034024701	7.874566038	8.008595358	6.661331828					
1700019L03Rik	6.68E-01	-0.142588242	8.08E-02	1.92E-01		1700019L03Rik	0.94470848	0.738658226	0.388308371	1.220814149	0.492160377	1.00107442	1.53210632					
Dpy30	2.18E-01	4.384989997	8.09E-02	1.92E-01		Dpy30	19.52397525	18.46645565	20.32147144	19.96031133	23.62369811	19.9547501	24.44708781					
Eif2b4	1.57E-01	5.555013787	8.09E-02	1.92E-01		Eif2b4	45.84985156	42.10351889	46.7264407	47.24550756	50.48159299	45.38204036	51.29225508					
Ciz1	-1.21E-01	7.020061335	8.09E-02	1.92E-01		Ciz1	143.8476112	138.9908562	132.3484366	126.232183	116.2904663	124.4669195	126.6319181					
Scarf1	-3.43E-01	2.3206232	8.10E-02	1.92E-01		Scarf1	6.172095402	5.724601252	5.436317201	5.310541547	3.937283019	4.337989152	3.996799097					
Tfrc	-2.36E-01	7.207709743	8.11E-02	1.92E-01		Tfrc	140.257719	124.2792465	228.972503	108.1030929	156.8585431	136.2128594	141.8863679					
Lyl1	1.47E-01	6.747967764	8.11E-02	1.92E-01		Lyl1	119.096249	97.25666644	92.67626466	112.4980238	105.7441725	109.851233	114.6415208					
Wbp11	1.20E-01	6.988697741	8.11E-02	1.92E-01		Wbp11	123.2529664	118.246871	127.8828903	129.2842184	130.0709569	129.2053384	130.8285571					
Med28	1.47E-01	5.782014819	8.12E-02	1.92E-01		Med28	49.50272435	55.0915927	53.78070945	59.45364904	57.02029515	55.32604627	54.88937426					
Slc22a17	-3.27E-01	2.691687321	8.12E-02	1.92E-01		Slc22a17	6.801901056	8.371459896	7.054268748	5.676785792	6.749628032	5.606016751	4.995998871					
Calm1	1.11E-01	9.10660237	8.12E-02	1.92E-01		Calm1	548.560724	535.4656591	523.9574292	549.3053262	576.5307278	576.0182212	547.3616363					
Dusp9	6.19E-01	0.140653825	8.14E-02	1.93E-01		Dusp9	1.196630741	0.492438817	0.906052867	1.526017686	1.406172507	1.00107442	1.199039729					
Trove2	-2.56E-01	3.559958066	8.15E-02	1.93E-01		Trove2	12.3441908	13.11118351	14.23797362	11.29253088	10.12444205	10.07748249	11.39087743					
Spred2	2.70E-01	3.612734381	8.15E-02	1.93E-01		Spred2	11.02159893	9.9103312	12.55530401	12.87958927	12.65555256	12.61353769	13.98879684					
Eif2a	1.42E-01	6.018731452	8.15E-02	1.93E-01		Eif2a	59.9574982	62.53972981	64.20031742	63.72649856	73.33189623	64.20223946	65.9471851					
Ltb4r1	-3.95E-01	2.250934693	8.16E-02	1.93E-01		Ltb4r1	3.652872789	6.21704007	6.989550686	4.700134473	3.234196765	3.737344501	4.796158916					
Gnmt	-6.05E-01	0.198528342	8.16E-02	1.93E-01		Gnmt	1.763455829	1.600426157	0.970770929	1.098732734	0.281234501	0.86759783	1.398879684					
Eng	-3.04E-01	3.550408306	8.17E-02	1.93E-01		Eng	10.39179328	13.11118351	16.56782385	9.583391068	12.58524394	10.67812714	9.259251241					
Prkar2a	1.76E-01	5.12611821	8.17E-02	1.93E-01		Prkar2a	31.04941871	32.4394071	35.8538063	36.38026163	36.98233693	35.43803446	36.30425846					
Lrtm2	-6.07E-01	-0.047054865	8.18E-02	1.93E-01		Lrtm2	1.259611307	1.231097044	1.164925114	0.732488489	0.632777628	0.667382947	1.065813092					
Appl1	-1.25E-01	6.571962802	8.18E-02	1.93E-01		Appl1	102.4063992	105.3819069	96.88293868	92.35459035	90.69812668	90.49712755	87.99619345					
Zfp943	-1.80E-01	5.251068439	8.21E-02	1.94E-01		Zfp943	43.64553177	41.73418977	39.02499133	34.79320324	34.59184367	40.44340656	32.440686					
Ccdc14	3.04E-01	3.26662347	8.21E-02	1.94E-01		Ccdc14	7.935551232	8.186795339	9.772427349	8.667780456	11.60092318	9.143146368	12.12362393					
Rplp2	1.13E-01	9.145098651	8.21E-02	1.94E-01		Rplp2	558.1967505	553.3165662	540.0075086	586.3570356	557.898942	566.474645	599.0535713					
Pum1	-1.16E-01	7.17704281	8.21E-02	1.94E-01		Pum1	158.081219	153.8255756	149.9517494	139.9663422	137.4533625	140.1504188	133.9593831					
2410076I21Rik	-5.06E-01	0.786704385	8.22E-02	1.94E-01		2410076I21Rik	2.141339221	1.477316452	2.7181586	1.403936271	1.335863881	1.801933956	1.199039729					
Cnnm3	-1.66E-01	5.325038346	8.22E-02	1.94E-01		Cnnm3	46.35369608	42.65751256	41.48427769	41.26351823	35.22462129	37.30670671	36.30425846					
Ndufv2	1.48E-01	5.686583812	8.22E-02	1.94E-01		Ndufv2	47.61330739	48.25900411	52.22747596	52.86125264	55.61412264	50.85458053	53.09081467					
Epb4.1l4b	-5.71E-01	0.260613465	8.23E-02	1.94E-01		Epb4.1l4b	1.700475264	1.4157616	1.3590793	1.098732734	1.124938005	1.134551009	0.532906546					
Zfp763	-2.75E-01	3.373081438	8.23E-02	1.94E-01		Zfp763	10.8956378	11.2029831	13.00833044	9.339228238	8.507343666	10.61138885	8.992797968					
Cubn	5.40E-01	0.639067651	8.24E-02	1.94E-01		Cubn	0.629805653	1.785090713	1.3590793	1.464976978	1.617098383	2.202363724	1.865172912					
Ncor2	-1.16E-01	7.468379469	8.25E-02	1.94E-01		Ncor2	183.8402702	190.8815966	191.2418729	179.9480055	161.1473693	163.5755602	169.5975083					
Lonrf1	-3.26E-01	2.983820039	8.25E-02	1.94E-01		Lonrf1	7.305745578	9.356337531	10.61376215	7.202803478	8.647960916	5.87296993	6.461491873					
Abcd4	-2.02E-01	4.698304528	8.25E-02	1.94E-01		Abcd4	29.16000175	29.97721301	26.53440538	28.20080684	22.21752561	23.29166483	22.31546162					
Hspa9	1.19E-01	7.965483035	8.26E-02	1.95E-01		Hspa9	239.074226	238.3403876	249.1645384	240.6224687	271.6022197	246.197569	264.2550336					
2210414B05Rik	6.52E-01	0.053723421	8.26E-02	1.95E-01		2210414B05Rik	0.818747349	1.107987339	0.453026433	0.915610612	0.914012129	1.067812714	1.998399548					
Chd2	-1.20E-01	8.238184035	8.28E-02	1.95E-01		Chd2	339.0873637	325.2558389	300.7448337	289.9433603	288.8278329	297.385841	273.4476715					
Rbm43	1.48E-01	5.587277144	8.30E-02	1.95E-01		Rbm43	46.35369608	45.85836487	46.01454202	48.83256595	48.72387736	50.25393587	50.42628194					
Ide	1.39E-01	6.250719925	8.30E-02	1.95E-01		Ide	68.33391338	70.48030574	81.02701351	76.05672147	80.43306738	79.28509405	77.40467584					
Hsd17b4	-1.56E-01	5.834976757	8.30E-02	1.95E-01		Hsd17b4	54.03732505	64.07860111	66.85375795	54.08206679	58.21554178	52.58977619	50.09321535					
Rundc3a	3.41E-01	2.381008692	8.31E-02	1.96E-01		Rundc3a	4.912484096	4.308839652	4.594982396	5.127419425	4.991912399	6.073184813	6.461491873					
Cinp	2.05E-01	4.517008756	8.32E-02	1.96E-01		Cinp	19.77589751	21.29797885	23.29850229	25.39293429	24.32678437	23.22492654	22.91498149					
2310035C23Rik	-1.26E-01	6.659447172	8.34E-02	1.96E-01		2310035C23Rik	109.8381059	110.4909597	103.6783352	101.7548593	92.52615094	97.57138678	91.92637923					
Gclm	-3.06E-01	4.675400452	8.35E-02	1.96E-01		Gclm	20.65762543	24.56038602	42.32561249	18.25117152	26.9282035	21.35625429	25.24644763					
Zxda	-2.85E-01	3.308929748	8.36E-02	1.97E-01		Zxda	10.01390989	11.57231221	12.03755952	7.752169845	9.140121294	9.543576135	9.392477878					
Fnbp1	1.19E-01	8.416860149	8.36E-02	1.97E-01		Fnbp1	349.920021	325.5636132	317.8951201	333.5264254	351.6134353	344.4363387	368.2384235					
Ptges3	1.25E-01	6.858508386	8.38E-02	1.97E-01		Ptges3	108.2635918	107.7825462	120.8933397	115.6110999	117.4857129	122.1310792	119.9705862					
Eif2b1	1.77E-01	4.975940812	8.38E-02	1.97E-01		Eif2b1	28.97106005	29.79254845	30.67636135	33.51134838	34.38091779	30.49940066	32.440686					
Sec61a2	-2.28E-01	4.263510104	8.38E-02	1.97E-01		Sec61a2	20.27974204	23.82172779	19.67429082	15.87058393	18.91302022	18.01933956	17.98559594					
Sh3bp5	-1.31E-01	7.744696381	8.38E-02	1.97E-01		Sh3bp5	255.3232119	221.2896936	211.5633444	196.5510779	194.5439663	210.0254133	212.629712					
Ndufb3	1.95E-01	4.769465091	8.39E-02	1.97E-01		Ndufb3	25.19222613	25.29904424	26.53440538	30.76451655	27.06882075	28.43051352	27.51130045					
Pbrm1	1.16E-01	7.687862979	8.40E-02	1.97E-01		Pbrm1	202.8604009	201.7152506	195.2543928	203.3876372	226.6750081	204.6863497	208.4330729					
A630033H20Rik	-1.66E-01	5.36655827	8.40E-02	1.97E-01		A630033H20Rik	48.43205474	42.90373197	42.77863892	38.02836073	38.81036119	40.91057462	37.03700496					
Atxn2	-1.63E-01	5.345594293	8.40E-02	1.97E-01		Atxn2	42.63784273	42.41129315	47.17946713	39.3712563	35.7870903	40.44340656	36.90377833					
Tmem175	-1.82E-01	4.876362989	8.41E-02	1.97E-01		Tmem175	31.86816606	33.8551687	30.35277104	28.62809179	26.9282035	27.56291569	26.44548736					
Zfp330	1.49E-01	5.733465302	8.41E-02	1.97E-01		Zfp330	50.44743283	49.4285463	53.13352883	54.93663669	51.74714825	54.25823355	58.35326681					
Brf1	-1.22E-01	6.986650998	8.42E-02	1.97E-01		Brf1	143.7846307	132.8969258	129.0478155	121.7151706	114.2515162	122.7317239	123.5677054					
Arntl	-1.87E-01	5.091643967	8.43E-02	1.98E-01		Arntl	41.00034803	37.73312438	32.94149351	31.31388292	29.38900539	34.70391322	31.64132618					
Pggt1b	1.69E-01	5.266090967	8.43E-02	1.98E-01		Pggt1b	33.00181623	39.45666024	37.2128856	40.95831469	41.69301482	38.6414726	38.36927133					
Slc39a14	2.04E-01	4.522712899	8.45E-02	1.98E-01		Slc39a14	19.77589751	22.7752953	21.93942299	22.76818387	27.63128976	23.62535631	22.44868826					
Ddx55	-1.62E-01	5.328035009	8.45E-02	1.98E-01		Ddx55	41.00034803	45.61214546	43.81412791	36.929628	36.6307938	37.77387477	39.56831106					
Spg11	-1.24E-01	6.676142077	8.46E-02	1.98E-01		Spg11	105.1145635	113.9380314	108.4674718	99.49635312	92.87769407	100.6413483	95.59011173					
Tlr1	-1.15E-01	7.516501782	8.46E-02	1.98E-01		Tlr1	200.4041589	195.6828751	187.9412518	175.5530746	175.1387857	173.3860895	174.1938273					
Zfp398	-1.77E-01	5.051422717	8.46E-02	1.98E-01		Zfp398	33.94652471	37.85623409	36.56570498	32.35157494	28.19375876	30.16570918	33.10681919					
Psmg4	2.50E-01	3.873510261	8.46E-02	1.98E-01		Psmg4	13.54082155	13.41895777	13.39663882	14.16144413	15.8194407	14.01504188	18.25204921					
Plek	1.18E-01	8.188663354	8.47E-02	1.98E-01		Plek	260.6135793	297.3714909	291.4901508	303.2502345	297.4757938	291.7130859	299.8931589					
Fam55b	-2.25E-01	5.320941517	8.47E-02	1.98E-01		Fam55b	38.60708655	35.82492397	58.56984603	31.49700504	39.02128706	37.57365989	39.16863115					
Fzd6	-3.81E-01	2.077174645	8.47E-02	1.98E-01		Fzd6	4.093736747	5.724601252	4.983290767	3.723483154	4.499752021	3.804082795	2.73114605					
Btbd7	-1.48E-01	5.529763034	8.49E-02	1.99E-01		Btbd7	50.00656887	48.1358944	51.19198697	44.3155536	41.41178032	44.84813401	43.56511016					
Frrs1	-3.36E-01	2.648868573	8.49E-02	1.99E-01		Frrs1	5.605270314	7.325027409	8.80165642	5.798867207	4.991912399	6.473614581	4.929385553					
Ppif	1.77E-01	4.910583763	8.50E-02	1.99E-01		Ppif	28.84509892	28.74611597	27.82876662	30.70347584	31.6388814	30.49940066	32.24084605					
Plxna4	-6.15E-01	0.160618583	8.50E-02	1.99E-01		Plxna4	1.007689045	1.354206748	1.876823795	0.671447782	1.546789757	0.667382947	0.732746501					
Vps25	1.39E-01	5.947575711	8.51E-02	1.99E-01		Vps25	58.50894519	62.10884584	57.40492092	64.94731271	65.38702156	59.73077372	63.81555891					
Ywhah	1.22E-01	7.247646113	8.51E-02	1.99E-01		Ywhah	149.0120176	137.3288752	155.1939125	149.4886925	164.944035	150.3613779	157.2740445					
Frs2	-1.41E-01	6.002612547	8.51E-02	1.99E-01		Frs2	68.27093282	68.69521503	69.76607074	63.29921361	58.49677628	64.40245434	56.02180067					
Tmbim4	1.70E-01	5.126994988	8.51E-02	1.99E-01		Tmbim4	31.4273021	35.02471089	33.00621157	34.24383687	38.45881806	35.97194082	36.50409842					
Nme4	-3.41E-01	2.198789956	8.52E-02	1.99E-01		Nme4	4.912484096	5.6630464	5.306881077	3.784523861	3.937283019	4.004297679	4.529705643					
Junb	1.48E-01	6.630323116	8.53E-02	1.99E-01		Junb	89.3694222	93.68648501	102.448692	112.4369831	89.78411455	99.57353562	105.7153361					
Pan3	-1.14E-01	7.552785444	8.57E-02	2.00E-01		Pan3	204.6868373	192.1742485	202.3086615	180.8025754	172.8889097	183.7305252	178.323853					
Acot11	-2.72E-01	3.354739409	8.58E-02	2.00E-01		Acot11	11.02159893	10.83365398	12.7494582	9.27818753	10.05413342	8.542501716	9.192637923					
Pi4kb	1.20E-01	6.873030163	8.58E-02	2.01E-01		Pi4kb	118.6553851	112.830044	109.2440885	117.8696061	121.2823787	118.8609028	121.5026925					
