Gene	BXSB_B6_Y1_GES12_52056	Gene	BXSB_B6_Y2_GES12_52057	Gene	BXSB_B6_Y3_GES12_52058	Gene	BXSB_Yaa1_GES12_52059	Gene	BXSB_Yaa2_GES12_52060	Gene	BXSB_Yaa3_GES12_52061	Gene	BXSB_Yaa4_GES12_52062
Lgr5	34	Lgr5	26	Lgr5	23	Lgr5	42	Lgr5	53	Lgr5	31	Lgr5	65
Lgr6	2	Lgr6	1	Lgr6	3	Lgr6	3	Lgr6	3	Lgr6	4	Lgr6	4
Lgsn	0	Lgsn	0	Lgsn	0	Lgsn	0	Lgsn	0	Lgsn	0	Lgsn	0
Lhb	0	Lhb	0	Lhb	0	Lhb	0	Lhb	0	Lhb	0	Lhb	1
Lhcgr	1	Lhcgr	0	Lhcgr	0	Lhcgr	0	Lhcgr	0	Lhcgr	0	Lhcgr	0
Lhfp	10	Lhfp	13	Lhfp	4	Lhfp	7	Lhfp	8	Lhfp	11	Lhfp	8
Lhfpl1	1	Lhfpl1	1	Lhfpl1	0	Lhfpl1	1	Lhfpl1	0	Lhfpl1	0	Lhfpl1	2
Lhfpl2	28	Lhfpl2	26	Lhfpl2	60	Lhfpl2	16	Lhfpl2	46	Lhfpl2	23	Lhfpl2	38
Lhfpl3	3	Lhfpl3	4	Lhfpl3	2	Lhfpl3	0	Lhfpl3	2	Lhfpl3	1	Lhfpl3	1
Lhfpl4	1	Lhfpl4	5	Lhfpl4	3	Lhfpl4	39	Lhfpl4	64	Lhfpl4	59	Lhfpl4	70
Lhfpl5	0	Lhfpl5	0	Lhfpl5	0	Lhfpl5	1	Lhfpl5	0	Lhfpl5	0	Lhfpl5	0
Lhpp	77	Lhpp	68	Lhpp	88	Lhpp	60	Lhpp	58	Lhpp	75	Lhpp	58
Lhx1	1	Lhx1	3	Lhx1	5	Lhx1	0	Lhx1	3	Lhx1	1	Lhx1	1
Lhx2	0	Lhx2	1	Lhx2	1	Lhx2	5	Lhx2	3	Lhx2	2	Lhx2	4
Lhx3	0	Lhx3	0	Lhx3	0	Lhx3	0	Lhx3	0	Lhx3	1	Lhx3	0
Lhx4	0	Lhx4	0	Lhx4	0	Lhx4	0	Lhx4	0	Lhx4	0	Lhx4	0
Lhx5	1	Lhx5	3	Lhx5	0	Lhx5	1	Lhx5	1	Lhx5	0	Lhx5	1
Lhx6	0	Lhx6	3	Lhx6	0	Lhx6	0	Lhx6	0	Lhx6	0	Lhx6	0
Lhx8	0	Lhx8	0	Lhx8	0	Lhx8	0	Lhx8	0	Lhx8	0	Lhx8	0
Lhx9	0	Lhx9	1	Lhx9	1	Lhx9	0	Lhx9	0	Lhx9	0	Lhx9	1
Lias	427	Lias	441	Lias	380	Lias	424	Lias	435	Lias	414	Lias	430
Lif	9	Lif	10	Lif	0	Lif	58	Lif	26	Lif	30	Lif	32
Lifr	348	Lifr	398	Lifr	360	Lifr	338	Lifr	294	Lifr	292	Lifr	540
Lig1	798	Lig1	742	Lig1	1059	Lig1	1376	Lig1	1599	Lig1	1332	Lig1	1764
Lig3	982	Lig3	1016	Lig3	943	Lig3	1019	Lig3	1022	Lig3	986	Lig3	993
Lig4	277	Lig4	272	Lig4	220	Lig4	396	Lig4	354	Lig4	356	Lig4	402
Lilra5	66	Lilra5	94	Lilra5	116	Lilra5	81	Lilra5	42	Lilra5	57	Lilra5	26
Lilra6	291	Lilra6	371	Lilra6	391	Lilra6	187	Lilra6	170	Lilra6	139	Lilra6	144
Lilrb3	2613	Lilrb3	3862	Lilrb3	3642	Lilrb3	2220	Lilrb3	1781	Lilrb3	1819	Lilrb3	1562
Lilrb4	1084	Lilrb4	2609	Lilrb4	2361	Lilrb4	1127	Lilrb4	1060	Lilrb4	1027	Lilrb4	996
Lim2	1	Lim2	1	Lim2	0	Lim2	0	Lim2	0	Lim2	0	Lim2	1
Lima1	273	Lima1	418	Lima1	341	Lima1	293	Lima1	276	Lima1	216	Lima1	218
Limch1	4	Limch1	0	Limch1	3	Limch1	1	Limch1	6	Limch1	2	Limch1	5
Limd1	4178	Limd1	3894	Limd1	3753	Limd1	4165	Limd1	3522	Limd1	4034	Limd1	3669
Limd2	10595	Limd2	10187	Limd2	9036	Limd2	9805	Limd2	8137	Limd2	8536	Limd2	8060
Lime1	2029	Lime1	2236	Lime1	1977	Lime1	1949	Lime1	1572	Lime1	1694	Lime1	1845
Limk1	506	Limk1	527	Limk1	473	Limk1	439	Limk1	368	Limk1	395	Limk1	405
Limk2	1434	Limk2	1452	Limk2	1442	Limk2	1442	Limk2	1130	Limk2	1224	Limk2	1291
Lims1	2388	Lims1	2605	Lims1	2473	Lims1	2643	Lims1	2327	Lims1	2324	Lims1	2312
Lims2	0	Lims2	1	Lims2	0	Lims2	2	Lims2	1	Lims2	0	Lims2	0
Lin28a	9	Lin28a	23	Lin28a	31	Lin28a	6	Lin28a	11	Lin28a	22	Lin28a	12
Lin28b	0	Lin28b	0	Lin28b	0	Lin28b	0	Lin28b	0	Lin28b	0	Lin28b	0
Lin37	447	Lin37	438	Lin37	411	Lin37	503	Lin37	409	Lin37	419	Lin37	398
Lin52	224	Lin52	265	Lin52	247	Lin52	246	Lin52	223	Lin52	227	Lin52	219
Lin54	483	Lin54	438	Lin54	500	Lin54	474	Lin54	447	Lin54	480	Lin54	495
Lin7a	0	Lin7a	0	Lin7a	0	Lin7a	0	Lin7a	0	Lin7a	0	Lin7a	0
Lin7b	3	Lin7b	2	Lin7b	2	Lin7b	1	Lin7b	4	Lin7b	2	Lin7b	4
Lin7c	1492	Lin7c	1615	Lin7c	1397	Lin7c	1436	Lin7c	1321	Lin7c	1387	Lin7c	1329
Lin9	264	Lin9	255	Lin9	283	Lin9	311	Lin9	231	Lin9	250	Lin9	295
Lingo1	0	Lingo1	2	Lingo1	1	Lingo1	3	Lingo1	2	Lingo1	0	Lingo1	1
Lingo2	0	Lingo2	0	Lingo2	0	Lingo2	0	Lingo2	0	Lingo2	0	Lingo2	0
Lingo3	0	Lingo3	0	Lingo3	0	Lingo3	0	Lingo3	0	Lingo3	1	Lingo3	0
Lingo4	10	Lingo4	5	Lingo4	7	Lingo4	3	Lingo4	8	Lingo4	5	Lingo4	2
Lins	231	Lins	257	Lins	278	Lins	237	Lins	183	Lins	212	Lins	172
Lipa	1800	Lipa	2138	Lipa	2359	Lipa	1606	Lipa	1331	Lipa	1527	Lipa	1140
Lipc	24	Lipc	53	Lipc	52	Lipc	127	Lipc	162	Lipc	141	Lipc	203
Lipe	633	Lipe	608	Lipe	553	Lipe	587	Lipe	479	Lipe	525	Lipe	527
Lipf	0	Lipf	0	Lipf	0	Lipf	0	Lipf	0	Lipf	0	Lipf	0
Lipg	3	Lipg	12	Lipg	38	Lipg	7	Lipg	19	Lipg	9	Lipg	6
Liph	3	Liph	9	Liph	3	Liph	4	Liph	9	Liph	7	Liph	9
Lipi	1	Lipi	1	Lipi	4	Lipi	1	Lipi	0	Lipi	2	Lipi	1
Lipk	0	Lipk	0	Lipk	0	Lipk	0	Lipk	0	Lipk	0	Lipk	0
Lipm	0	Lipm	0	Lipm	0	Lipm	1	Lipm	1	Lipm	0	Lipm	0
Lipn	1	Lipn	1	Lipn	0	Lipn	0	Lipn	1	Lipn	0	Lipn	1
Lipo1	143	Lipo1	147	Lipo1	115	Lipo1	133	Lipo1	117	Lipo1	112	Lipo1	126
Lipt1	76	Lipt1	85	Lipt1	90	Lipt1	104	Lipt1	80	Lipt1	82	Lipt1	98
Lipt2	31	Lipt2	47	Lipt2	36	Lipt2	26	Lipt2	33	Lipt2	27	Lipt2	40
Litaf	665	Litaf	1006	Litaf	1007	Litaf	788	Litaf	728	Litaf	692	Litaf	692
Lix1	16	Lix1	22	Lix1	22	Lix1	12	Lix1	11	Lix1	15	Lix1	13
Lix1l	36	Lix1l	42	Lix1l	44	Lix1l	59	Lix1l	51	Lix1l	35	Lix1l	41
Llgl1	1168	Llgl1	1012	Llgl1	1050	Llgl1	1122	Llgl1	913	Llgl1	943	Llgl1	976
Llgl2	473	Llgl2	411	Llgl2	395	Llgl2	421	Llgl2	358	Llgl2	394	Llgl2	381
Llph	975	Llph	968	Llph	877	Llph	1018	Llph	887	Llph	864	Llph	982
Lman1	898	Lman1	1097	Lman1	1061	Lman1	1708	Lman1	1842	Lman1	1716	Lman1	1712
Lman1l	12	Lman1l	7	Lman1l	14	Lman1l	9	Lman1l	4	Lman1l	5	Lman1l	3
Lman2	2694	Lman2	2816	Lman2	2894	Lman2	3345	Lman2	3141	Lman2	3065	Lman2	3166
Lman2l	444	Lman2l	431	Lman2l	390	Lman2l	359	Lman2l	293	Lman2l	307	Lman2l	305
Lmbr1	75	Lmbr1	79	Lmbr1	121	Lmbr1	86	Lmbr1	74	Lmbr1	80	Lmbr1	84
Lmbr1l	1731	Lmbr1l	1760	Lmbr1l	1534	Lmbr1l	1655	Lmbr1l	1294	Lmbr1l	1416	Lmbr1l	1431
Lmbrd1	2408	Lmbrd1	2439	Lmbrd1	2297	Lmbrd1	2556	Lmbrd1	2036	Lmbrd1	2386	Lmbrd1	2223
Lmbrd2	320	Lmbrd2	403	Lmbrd2	406	Lmbrd2	329	Lmbrd2	316	Lmbrd2	263	Lmbrd2	273
Lmcd1	2	Lmcd1	5	Lmcd1	8	Lmcd1	3	Lmcd1	4	Lmcd1	8	Lmcd1	3
Lmf1	271	Lmf1	276	Lmf1	255	Lmf1	273	Lmf1	219	Lmf1	258	Lmf1	280
Lmf2	917	Lmf2	873	Lmf2	796	Lmf2	969	Lmf2	867	Lmf2	880	Lmf2	899
Lmln	52	Lmln	64	Lmln	46	Lmln	55	Lmln	32	Lmln	48	Lmln	49
Lmna	219	Lmna	221	Lmna	489	Lmna	115	Lmna	192	Lmna	216	Lmna	235
Lmnb1	1261	Lmnb1	1227	Lmnb1	1429	Lmnb1	2408	Lmnb1	2442	Lmnb1	2218	Lmnb1	2781
Lmnb2	497	Lmnb2	521	Lmnb2	517	Lmnb2	597	Lmnb2	604	Lmnb2	547	Lmnb2	644
Lmo1	3	Lmo1	4	Lmo1	2	Lmo1	7	Lmo1	4	Lmo1	3	Lmo1	5
Lmo2	2745	Lmo2	2580	Lmo2	2555	Lmo2	2303	Lmo2	2046	Lmo2	2416	Lmo2	2338
Lmo3	0	Lmo3	0	Lmo3	0	Lmo3	0	Lmo3	0	Lmo3	0	Lmo3	0
Lmo4	758	Lmo4	790	Lmo4	663	Lmo4	973	Lmo4	831	Lmo4	746	Lmo4	816
Lmo7	137	Lmo7	239	Lmo7	77	Lmo7	275	Lmo7	284	Lmo7	185	Lmo7	427
Lmod1	0	Lmod1	0	Lmod1	0	Lmod1	0	Lmod1	0	Lmod1	2	Lmod1	1
Lmod2	0	Lmod2	0	Lmod2	0	Lmod2	1	Lmod2	0	Lmod2	0	Lmod2	0
Lmod3	0	Lmod3	0	Lmod3	1	Lmod3	1	Lmod3	0	Lmod3	1	Lmod3	0
Lmtk2	1834	Lmtk2	1792	Lmtk2	1761	Lmtk2	1638	Lmtk2	1458	Lmtk2	1568	Lmtk2	1550
Lmtk3	7	Lmtk3	3	Lmtk3	3	Lmtk3	17	Lmtk3	15	Lmtk3	14	Lmtk3	15
Lmx1a	0	Lmx1a	0	Lmx1a	0	Lmx1a	0	Lmx1a	0	Lmx1a	0	Lmx1a	0
Lmx1b	0	Lmx1b	0	Lmx1b	0	Lmx1b	0	Lmx1b	0	Lmx1b	0	Lmx1b	0
Lnp	668	Lnp	813	Lnp	755	Lnp	692	Lnp	679	Lnp	652	Lnp	661
Lnpep	3740	Lnpep	4163	Lnpep	3735	Lnpep	4144	Lnpep	3276	Lnpep	3736	Lnpep	3670
Lnx1	115	Lnx1	124	Lnx1	123	Lnx1	110	Lnx1	105	Lnx1	101	Lnx1	92
Lnx2	880	Lnx2	940	Lnx2	823	Lnx2	900	Lnx2	838	Lnx2	824	Lnx2	931
Loh12cr1	188	Loh12cr1	166	Loh12cr1	176	Loh12cr1	186	Loh12cr1	153	Loh12cr1	185	Loh12cr1	220
Lonp1	1637	Lonp1	1670	Lonp1	1483	Lonp1	1641	Lonp1	1505	Lonp1	1520	Lonp1	1586
Lonp2	1322	Lonp2	1397	Lonp2	1284	Lonp2	1416	Lonp2	1250	Lonp2	1292	Lonp2	1217
Lonrf1	116	Lonrf1	152	Lonrf1	164	Lonrf1	118	Lonrf1	123	Lonrf1	88	Lonrf1	97
Lonrf2	0	Lonrf2	0	Lonrf2	0	Lonrf2	1	Lonrf2	0	Lonrf2	0	Lonrf2	1
Lonrf3	11	Lonrf3	12	Lonrf3	22	Lonrf3	12	Lonrf3	8	Lonrf3	8	Lonrf3	12
Lor	0	Lor	0	Lor	0	Lor	1	Lor	1	Lor	1	Lor	0
Lox	2	Lox	1	Lox	1	Lox	5	Lox	1	Lox	3	Lox	3
Loxhd1	42	Loxhd1	22	Loxhd1	27	Loxhd1	12	Loxhd1	14	Loxhd1	11	Loxhd1	11
Loxl1	6	Loxl1	9	Loxl1	6	Loxl1	11	Loxl1	11	Loxl1	12	Loxl1	7
Loxl2	35	Loxl2	39	Loxl2	41	Loxl2	49	Loxl2	42	Loxl2	44	Loxl2	42
Loxl3	60	Loxl3	71	Loxl3	85	Loxl3	58	Loxl3	53	Loxl3	64	Loxl3	50
Loxl4	6	Loxl4	12	Loxl4	11	Loxl4	5	Loxl4	8	Loxl4	7	Loxl4	10
Lpar1	3	Lpar1	4	Lpar1	8	Lpar1	9	Lpar1	10	Lpar1	4	Lpar1	8
Lpar2	562	Lpar2	543	Lpar2	502	Lpar2	541	Lpar2	398	Lpar2	515	Lpar2	457
Lpar3	5	Lpar3	7	Lpar3	6	Lpar3	15	Lpar3	12	Lpar3	11	Lpar3	16
Lpar4	0	Lpar4	1	Lpar4	0	Lpar4	1	Lpar4	2	Lpar4	1	Lpar4	1
Lpar5	224	Lpar5	265	Lpar5	263	Lpar5	182	Lpar5	144	Lpar5	178	Lpar5	191
Lpar6	689	Lpar6	781	Lpar6	640	Lpar6	617	Lpar6	520	Lpar6	572	Lpar6	587
Lpcat1	1239	Lpcat1	1085	Lpcat1	1139	Lpcat1	1030	Lpcat1	961	Lpcat1	957	Lpcat1	925
Lpcat2	581	Lpcat2	635	Lpcat2	631	Lpcat2	473	Lpcat2	320	Lpcat2	416	Lpcat2	264
Lpcat2b	0	Lpcat2b	1	Lpcat2b	0	Lpcat2b	0	Lpcat2b	0	Lpcat2b	0	Lpcat2b	2
Lpcat3	713	Lpcat3	754	Lpcat3	823	Lpcat3	704	Lpcat3	723	Lpcat3	656	Lpcat3	730
Lpcat4	541	Lpcat4	668	Lpcat4	519	Lpcat4	665	Lpcat4	503	Lpcat4	506	Lpcat4	489
Lpgat1	3313	Lpgat1	3010	Lpgat1	2706	Lpgat1	3406	Lpgat1	2832	Lpgat1	3112	Lpgat1	3075
Lphn1	1217	Lphn1	982	Lphn1	1047	Lphn1	927	Lphn1	761	Lphn1	793	Lphn1	778
Lphn2	42	Lphn2	64	Lphn2	50	Lphn2	227	Lphn2	275	Lphn2	202	Lphn2	271
Lphn3	98	Lphn3	140	Lphn3	115	Lphn3	58	Lphn3	49	Lphn3	50	Lphn3	34
Lpin1	759	Lpin1	831	Lpin1	1014	Lpin1	655	Lpin1	579	Lpin1	636	Lpin1	543
Lpin2	1161	Lpin2	1240	Lpin2	1383	Lpin2	1471	Lpin2	1389	Lpin2	1446	Lpin2	1499
Lpin3	8	Lpin3	18	Lpin3	15	Lpin3	28	Lpin3	15	Lpin3	13	Lpin3	19
Lpl	456	Lpl	692	Lpl	700	Lpl	295	Lpl	377	Lpl	332	Lpl	232
Lpo	0	Lpo	1	Lpo	1	Lpo	1	Lpo	6	Lpo	3	Lpo	2
Lpp	1308	Lpp	1374	Lpp	1147	Lpp	1714	Lpp	1500	Lpp	1545	Lpp	1781
Lpxn	1537	Lpxn	1528	Lpxn	1283	Lpxn	1949	Lpxn	1771	Lpxn	1793	Lpxn	2075
Lrat	1	Lrat	2	Lrat	3	Lrat	6	Lrat	9	Lrat	11	Lrat	5
Lrba	2286	Lrba	2162	Lrba	1898	Lrba	2221	Lrba	1993	Lrba	2159	Lrba	2152
Lrch1	1421	Lrch1	1306	Lrch1	1157	Lrch1	1395	Lrch1	1115	Lrch1	1292	Lrch1	1264
Lrch2	0	Lrch2	1	Lrch2	0	Lrch2	1	Lrch2	0	Lrch2	1	Lrch2	0
Lrch3	1561	Lrch3	1513	Lrch3	1415	Lrch3	1460	Lrch3	1228	Lrch3	1303	Lrch3	1242
Lrch4	0	Lrch4	0	Lrch4	0	Lrch4	0	Lrch4	0	Lrch4	0	Lrch4	0
Lrch4-sap25	193	Lrch4-sap25	193	Lrch4-sap25	175	Lrch4-sap25	194	Lrch4-sap25	125	Lrch4-sap25	148	Lrch4-sap25	131
Lrdd	298	Lrdd	318	Lrdd	311	Lrdd	398	Lrdd	370	Lrdd	375	Lrdd	388
Lrfn1	9	Lrfn1	14	Lrfn1	18	Lrfn1	16	Lrfn1	10	Lrfn1	12	Lrfn1	5
Lrfn2	1	Lrfn2	0	Lrfn2	0	Lrfn2	0	Lrfn2	0	Lrfn2	0	Lrfn2	0
Lrfn3	0	Lrfn3	0	Lrfn3	1	Lrfn3	1	Lrfn3	0	Lrfn3	2	Lrfn3	0
Lrfn4	14	Lrfn4	10	Lrfn4	15	Lrfn4	8	Lrfn4	12	Lrfn4	13	Lrfn4	11
Lrfn5	0	Lrfn5	0	Lrfn5	0	Lrfn5	0	Lrfn5	0	Lrfn5	0	Lrfn5	0
Lrg1	151	Lrg1	875	Lrg1	1016	Lrg1	109	Lrg1	98	Lrg1	137	Lrg1	110
Lrguk	3	Lrguk	1	Lrguk	1	Lrguk	1	Lrguk	2	Lrguk	0	Lrguk	0
Lrig1	308	Lrig1	306	Lrig1	319	Lrig1	358	Lrig1	325	Lrig1	297	Lrig1	376
Lrig2	1037	Lrig2	1020	Lrig2	971	Lrig2	904	Lrig2	796	Lrig2	811	Lrig2	809
Lrig3	11	Lrig3	23	Lrig3	19	Lrig3	11	Lrig3	9	Lrig3	9	Lrig3	7
Lrit1	0	Lrit1	0	Lrit1	1	Lrit1	0	Lrit1	0	Lrit1	0	Lrit1	2
Lrit2	0	Lrit2	1	Lrit2	1	Lrit2	0	Lrit2	0	Lrit2	0	Lrit2	0
Lrit3	2	Lrit3	0	Lrit3	0	Lrit3	1	Lrit3	0	Lrit3	1	Lrit3	0
Lrmp	4806	Lrmp	4656	Lrmp	3846	Lrmp	5427	Lrmp	4613	Lrmp	4794	Lrmp	5657
Lrp1	3106	Lrp1	5154	Lrp1	4980	Lrp1	3291	Lrp1	2171	Lrp1	2403	Lrp1	1773
Lrp10	4234	Lrp10	4051	Lrp10	3596	Lrp10	4665	Lrp10	3880	Lrp10	4072	Lrp10	4153
Lrp11	25	Lrp11	27	Lrp11	31	Lrp11	26	Lrp11	13	Lrp11	25	Lrp11	27
Lrp12	66	Lrp12	63	Lrp12	70	Lrp12	42	Lrp12	48	Lrp12	57	Lrp12	35
Lrp1b	0	Lrp1b	0	Lrp1b	0	Lrp1b	0	Lrp1b	0	Lrp1b	0	Lrp1b	0
Lrp2	0	Lrp2	0	Lrp2	1	Lrp2	0	Lrp2	0	Lrp2	0	Lrp2	1
Lrp2bp	6	Lrp2bp	1	Lrp2bp	1	Lrp2bp	7	Lrp2bp	6	Lrp2bp	6	Lrp2bp	8
Lrp3	9	Lrp3	12	Lrp3	9	Lrp3	18	Lrp3	17	Lrp3	14	Lrp3	19
Lrp4	79	Lrp4	111	Lrp4	120	Lrp4	66	Lrp4	34	Lrp4	49	Lrp4	42
Lrp5	262	Lrp5	339	Lrp5	340	Lrp5	250	Lrp5	183	Lrp5	212	Lrp5	192
Lrp6	1922	Lrp6	1949	Lrp6	1875	Lrp6	1600	Lrp6	1422	Lrp6	1623	Lrp6	1422
Lrp8	286	Lrp8	291	Lrp8	258	Lrp8	270	Lrp8	195	Lrp8	236	Lrp8	227
Lrpap1	681	Lrpap1	793	Lrpap1	703	Lrpap1	768	Lrpap1	658	Lrpap1	697	Lrpap1	692
Lrpprc	1776	Lrpprc	1835	Lrpprc	1927	Lrpprc	1752	Lrpprc	1556	Lrpprc	1606	Lrpprc	1663
Lrr1	12	Lrr1	9	Lrr1	24	Lrr1	40	Lrr1	46	Lrr1	30	Lrr1	56
Lrrc1	196	Lrrc1	192	Lrrc1	201	Lrrc1	170	Lrrc1	150	Lrrc1	159	Lrrc1	136
Lrrc10	0	Lrrc10	0	Lrrc10	0	Lrrc10	0	Lrrc10	0	Lrrc10	0	Lrrc10	0
Lrrc10b	0	Lrrc10b	0	Lrrc10b	2	Lrrc10b	0	Lrrc10b	0	Lrrc10b	0	Lrrc10b	1
Lrrc14	328	Lrrc14	366	Lrrc14	379	Lrrc14	357	Lrrc14	300	Lrrc14	358	Lrrc14	359
Lrrc14b	24	Lrrc14b	22	Lrrc14b	30	Lrrc14b	28	Lrrc14b	24	Lrrc14b	22	Lrrc14b	27
Lrrc15	2	Lrrc15	3	Lrrc15	3	Lrrc15	0	Lrrc15	2	Lrrc15	1	Lrrc15	0
Lrrc16a	571	Lrrc16a	623	Lrrc16a	527	Lrrc16a	540	Lrrc16a	415	Lrrc16a	443	Lrrc16a	448
Lrrc16b	86	Lrrc16b	64	Lrrc16b	70	Lrrc16b	76	Lrrc16b	53	Lrrc16b	65	Lrrc16b	70
Lrrc17	4	Lrrc17	2	Lrrc17	2	Lrrc17	6	Lrrc17	3	Lrrc17	0	Lrrc17	4
Lrrc18	7	Lrrc18	3	Lrrc18	3	Lrrc18	5	Lrrc18	3	Lrrc18	5	Lrrc18	3
Lrrc19	0	Lrrc19	2	Lrrc19	0	Lrrc19	3	Lrrc19	0	Lrrc19	0	Lrrc19	1
Lrrc2	16	Lrrc2	12	Lrrc2	15	Lrrc2	13	Lrrc2	5	Lrrc2	7	Lrrc2	6
Lrrc20	257	Lrrc20	239	Lrrc20	231	Lrrc20	247	Lrrc20	220	Lrrc20	243	Lrrc20	257
Lrrc23	85	Lrrc23	78	Lrrc23	87	Lrrc23	40	Lrrc23	27	Lrrc23	41	Lrrc23	30
Lrrc24	20	Lrrc24	18	Lrrc24	22	Lrrc24	22	Lrrc24	11	Lrrc24	12	Lrrc24	21
Lrrc25	333	Lrrc25	508	Lrrc25	480	Lrrc25	316	Lrrc25	248	Lrrc25	274	Lrrc25	191
Lrrc26	0	Lrrc26	0	Lrrc26	0	Lrrc26	0	Lrrc26	0	Lrrc26	0	Lrrc26	0
Lrrc27	13	Lrrc27	19	Lrrc27	19	Lrrc27	11	Lrrc27	5	Lrrc27	6	Lrrc27	8
Lrrc28	179	Lrrc28	223	Lrrc28	175	Lrrc28	177	Lrrc28	170	Lrrc28	192	Lrrc28	191
Lrrc29	97	Lrrc29	103	Lrrc29	87	Lrrc29	87	Lrrc29	85	Lrrc29	72	Lrrc29	96
Lrrc3	25	Lrrc3	23	Lrrc3	32	Lrrc3	40	Lrrc3	38	Lrrc3	42	Lrrc3	53
Lrrc30	0	Lrrc30	0	Lrrc30	0	Lrrc30	0	Lrrc30	0	Lrrc30	0	Lrrc30	0
Lrrc32	143	Lrrc32	124	Lrrc32	86	Lrrc32	174	Lrrc32	116	Lrrc32	132	Lrrc32	171
Lrrc33	3069	Lrrc33	3513	Lrrc33	3218	Lrrc33	2900	Lrrc33	2231	Lrrc33	2446	Lrrc33	2352
Lrrc34	3	Lrrc34	1	Lrrc34	4	Lrrc34	8	Lrrc34	3	Lrrc34	2	Lrrc34	3
Lrrc36	4	Lrrc36	4	Lrrc36	4	Lrrc36	6	Lrrc36	4	Lrrc36	3	Lrrc36	3
Lrrc38	0	Lrrc38	0	Lrrc38	0	Lrrc38	0	Lrrc38	0	Lrrc38	0	Lrrc38	0
Lrrc39	90	Lrrc39	92	Lrrc39	80	Lrrc39	90	Lrrc39	88	Lrrc39	78	Lrrc39	61
Lrrc3b	0	Lrrc3b	1	Lrrc3b	2	Lrrc3b	0	Lrrc3b	0	Lrrc3b	0	Lrrc3b	0
Lrrc4	0	Lrrc4	0	Lrrc4	2	Lrrc4	1	Lrrc4	0	Lrrc4	0	Lrrc4	0
Lrrc40	466	Lrrc40	508	Lrrc40	489	Lrrc40	589	Lrrc40	543	Lrrc40	496	Lrrc40	592
Lrrc41	589	Lrrc41	538	Lrrc41	575	Lrrc41	637	Lrrc41	509	Lrrc41	564	Lrrc41	578
Lrrc42	371	Lrrc42	361	Lrrc42	346	Lrrc42	377	Lrrc42	347	Lrrc42	353	Lrrc42	357
Lrrc43	0	Lrrc43	1	Lrrc43	0	Lrrc43	0	Lrrc43	0	Lrrc43	0	Lrrc43	0
Lrrc45	1217	Lrrc45	1161	Lrrc45	1064	Lrrc45	1080	Lrrc45	936	Lrrc45	1022	Lrrc45	1013
Lrrc46	1	Lrrc46	4	Lrrc46	1	Lrrc46	0	Lrrc46	0	Lrrc46	1	Lrrc46	1
Lrrc47	1057	Lrrc47	971	Lrrc47	1000	Lrrc47	1054	Lrrc47	947	Lrrc47	1000	Lrrc47	1007
Lrrc48	2	Lrrc48	5	Lrrc48	2	Lrrc48	0	Lrrc48	5	Lrrc48	1	Lrrc48	0
Lrrc49	15	Lrrc49	14	Lrrc49	12	Lrrc49	48	Lrrc49	47	Lrrc49	30	Lrrc49	41
Lrrc4b	0	Lrrc4b	1	Lrrc4b	1	Lrrc4b	1	Lrrc4b	1	Lrrc4b	1	Lrrc4b	1
Lrrc4c	2	Lrrc4c	1	Lrrc4c	4	Lrrc4c	8	Lrrc4c	8	Lrrc4c	1	Lrrc4c	3
Lrrc50	3	Lrrc50	0	Lrrc50	1	Lrrc50	1	Lrrc50	0	Lrrc50	0	Lrrc50	0
Lrrc51	73	Lrrc51	54	Lrrc51	53	Lrrc51	66	Lrrc51	47	Lrrc51	54	Lrrc51	59
Lrrc52	0	Lrrc52	0	Lrrc52	0	Lrrc52	0	Lrrc52	0	Lrrc52	0	Lrrc52	0
Lrrc55	0	Lrrc55	1	Lrrc55	0	Lrrc55	1	Lrrc55	2	Lrrc55	1	Lrrc55	1
Lrrc56	169	Lrrc56	172	Lrrc56	137	Lrrc56	153	Lrrc56	183	Lrrc56	186	Lrrc56	174
Lrrc57	389	Lrrc57	350	Lrrc57	328	Lrrc57	311	Lrrc57	282	Lrrc57	317	Lrrc57	293
Lrrc58	1138	Lrrc58	1241	Lrrc58	1067	Lrrc58	1132	Lrrc58	987	Lrrc58	1037	Lrrc58	1073
Lrrc59	1078	Lrrc59	1187	Lrrc59	1175	Lrrc59	1710	Lrrc59	1703	Lrrc59	1605	Lrrc59	1699
Lrrc6	2	Lrrc6	3	Lrrc6	5	Lrrc6	1	Lrrc6	2	Lrrc6	4	Lrrc6	1
Lrrc61	466	Lrrc61	479	Lrrc61	467	Lrrc61	462	Lrrc61	371	Lrrc61	372	Lrrc61	407
Lrrc63	9	Lrrc63	13	Lrrc63	10	Lrrc63	8	Lrrc63	11	Lrrc63	5	Lrrc63	8
Lrrc66	4	Lrrc66	6	Lrrc66	5	Lrrc66	2	Lrrc66	4	Lrrc66	3	Lrrc66	3
Lrrc67	1	Lrrc67	1	Lrrc67	5	Lrrc67	1	Lrrc67	3	Lrrc67	3	Lrrc67	4
Lrrc68	1178	Lrrc68	1193	Lrrc68	1036	Lrrc68	1072	Lrrc68	910	Lrrc68	947	Lrrc68	981
Lrrc69	3	Lrrc69	4	Lrrc69	0	Lrrc69	0	Lrrc69	0	Lrrc69	1	Lrrc69	1
Lrrc7	1	Lrrc7	0	Lrrc7	0	Lrrc7	0	Lrrc7	0	Lrrc7	0	Lrrc7	0
Lrrc8a	729	Lrrc8a	847	Lrrc8a	777	Lrrc8a	705	Lrrc8a	574	Lrrc8a	706	Lrrc8a	571
