Gene	BXSB_B6_Y1_GES12_52056	Gene	BXSB_B6_Y2_GES12_52057	Gene	BXSB_B6_Y3_GES12_52058	Gene	BXSB_Yaa1_GES12_52059	Gene	BXSB_Yaa2_GES12_52060	Gene	BXSB_Yaa3_GES12_52061	Gene	BXSB_Yaa4_GES12_52062
1110032F04Rik	42	1110032F04Rik	56	1110032F04Rik	45	1110032F04Rik	36	1110032F04Rik	31	1110032F04Rik	29	1110032F04Rik	15
1110034A24Rik	196	1110034A24Rik	203	1110034A24Rik	214	1110034A24Rik	250	1110034A24Rik	174	1110034A24Rik	197	1110034A24Rik	229
1110034B05Rik	163	1110034B05Rik	155	1110034B05Rik	160	1110034B05Rik	133	1110034B05Rik	139	1110034B05Rik	137	1110034B05Rik	149
1110034G24Rik	180	1110034G24Rik	184	1110034G24Rik	167	1110034G24Rik	161	1110034G24Rik	139	1110034G24Rik	129	1110034G24Rik	154
1110036E04Rik	1	1110036E04Rik	2	1110036E04Rik	2	1110036E04Rik	1	1110036E04Rik	2	1110036E04Rik	1	1110036E04Rik	0
1110037F02Rik	2489	1110037F02Rik	2555	1110037F02Rik	2376	1110037F02Rik	2470	1110037F02Rik	2161	1110037F02Rik	2393	1110037F02Rik	2293
1110038B12Rik	255	1110038B12Rik	269	1110038B12Rik	294	1110038B12Rik	323	1110038B12Rik	295	1110038B12Rik	281	1110038B12Rik	334
1110038D17Rik	1728	1110038D17Rik	1766	1110038D17Rik	1606	1110038D17Rik	1373	1110038D17Rik	1231	1110038D17Rik	1256	1110038D17Rik	1234
1110038F14Rik	513	1110038F14Rik	470	1110038F14Rik	465	1110038F14Rik	451	1110038F14Rik	440	1110038F14Rik	439	1110038F14Rik	482
1110046J04Rik	0	1110046J04Rik	5	1110046J04Rik	4	1110046J04Rik	3	1110046J04Rik	0	1110046J04Rik	2	1110046J04Rik	4
1110049F12Rik	635	1110049F12Rik	659	1110049F12Rik	676	1110049F12Rik	640	1110049F12Rik	617	1110049F12Rik	605	1110049F12Rik	607
1110051M20Rik	123	1110051M20Rik	139	1110051M20Rik	114	1110051M20Rik	132	1110051M20Rik	101	1110051M20Rik	105	1110051M20Rik	133
1110054M08Rik	82	1110054M08Rik	74	1110054M08Rik	76	1110054M08Rik	79	1110054M08Rik	61	1110054M08Rik	62	1110054M08Rik	66
1110054O05Rik	883	1110054O05Rik	905	1110054O05Rik	826	1110054O05Rik	970	1110054O05Rik	832	1110054O05Rik	830	1110054O05Rik	830
1110057K04Rik	830	1110057K04Rik	845	1110057K04Rik	835	1110057K04Rik	765	1110057K04Rik	685	1110057K04Rik	764	1110057K04Rik	781
1110058L19Rik	134	1110058L19Rik	156	1110058L19Rik	134	1110058L19Rik	154	1110058L19Rik	138	1110058L19Rik	119	1110058L19Rik	120
1110059E24Rik	2625	1110059E24Rik	2549	1110059E24Rik	2199	1110059E24Rik	2260	1110059E24Rik	2099	1110059E24Rik	2163	1110059E24Rik	2204
1110059G10Rik	249	1110059G10Rik	231	1110059G10Rik	209	1110059G10Rik	278	1110059G10Rik	247	1110059G10Rik	239	1110059G10Rik	245
1110059M19Rik	0	1110059M19Rik	0	1110059M19Rik	0	1110059M19Rik	0	1110059M19Rik	0	1110059M19Rik	0	1110059M19Rik	0
1110065P20Rik	35	1110065P20Rik	28	1110065P20Rik	17	1110065P20Rik	35	1110065P20Rik	31	1110065P20Rik	25	1110065P20Rik	44
1110067D22Rik	107	1110067D22Rik	137	1110067D22Rik	141	1110067D22Rik	180	1110067D22Rik	202	1110067D22Rik	185	1110067D22Rik	200
1190002F15Rik	39	1190002F15Rik	43	1190002F15Rik	84	1190002F15Rik	71	1190002F15Rik	81	1190002F15Rik	74	1190002F15Rik	90
1190002H23Rik	131	1190002H23Rik	136	1190002H23Rik	139	1190002H23Rik	125	1190002H23Rik	156	1190002H23Rik	128	1190002H23Rik	146
1190002N15Rik	307	1190002N15Rik	312	1190002N15Rik	370	1190002N15Rik	320	1190002N15Rik	289	1190002N15Rik	312	1190002N15Rik	305
1190003J15Rik	0	1190003J15Rik	0	1190003J15Rik	0	1190003J15Rik	0	1190003J15Rik	0	1190003J15Rik	0	1190003J15Rik	0
1190003K10Rik	0	1190003K10Rik	0	1190003K10Rik	0	1190003K10Rik	0	1190003K10Rik	0	1190003K10Rik	0	1190003K10Rik	0
1190005F20Rik	741	1190005F20Rik	792	1190005F20Rik	793	1190005F20Rik	783	1190005F20Rik	684	1190005F20Rik	708	1190005F20Rik	775
1190005I06Rik	5	1190005I06Rik	1	1190005I06Rik	2	1190005I06Rik	4	1190005I06Rik	2	1190005I06Rik	1	1190005I06Rik	7
1190007F08Rik	40	1190007F08Rik	31	1190007F08Rik	91	1190007F08Rik	24	1190007F08Rik	43	1190007F08Rik	39	1190007F08Rik	37
1190007I07Rik	130	1190007I07Rik	149	1190007I07Rik	137	1190007I07Rik	126	1190007I07Rik	106	1190007I07Rik	122	1190007I07Rik	117
1200009I06Rik	10	1200009I06Rik	10	1200009I06Rik	6	1200009I06Rik	16	1200009I06Rik	10	1200009I06Rik	9	1200009I06Rik	11
1200011I18Rik	1220	1200011I18Rik	1309	1200011I18Rik	1217	1200011I18Rik	1278	1200011I18Rik	1132	1200011I18Rik	1138	1200011I18Rik	1125
1200011M11Rik	520	1200011M11Rik	501	1200011M11Rik	513	1200011M11Rik	479	1200011M11Rik	418	1200011M11Rik	493	1200011M11Rik	446
1200014J11Rik	901	1200014J11Rik	913	1200014J11Rik	922	1200014J11Rik	916	1200014J11Rik	821	1200014J11Rik	869	1200014J11Rik	806
1200016B10Rik	622	1200016B10Rik	634	1200016B10Rik	629	1200016B10Rik	553	1200016B10Rik	504	1200016B10Rik	531	1200016B10Rik	469
1300001I01Rik	1933	1300001I01Rik	2058	1300001I01Rik	1976	1300001I01Rik	1977	1300001I01Rik	1711	1300001I01Rik	1811	1300001I01Rik	1816
1300002E11Rik	785	1300002E11Rik	826	1300002E11Rik	789	1300002E11Rik	643	1300002E11Rik	584	1300002E11Rik	585	1300002E11Rik	626
1300002K09Rik	162	1300002K09Rik	250	1300002K09Rik	229	1300002K09Rik	115	1300002K09Rik	88	1300002K09Rik	73	1300002K09Rik	73
1300010F03Rik	728	1300010F03Rik	875	1300010F03Rik	810	1300010F03Rik	773	1300010F03Rik	680	1300010F03Rik	739	1300010F03Rik	707
1300014I06Rik	1187	1300014I06Rik	868	1300014I06Rik	830	1300014I06Rik	982	1300014I06Rik	810	1300014I06Rik	1015	1300014I06Rik	1114
1300015D01Rik	1	1300015D01Rik	1	1300015D01Rik	1	1300015D01Rik	0	1300015D01Rik	1	1300015D01Rik	0	1300015D01Rik	0
1300017J02Rik	32	1300017J02Rik	40	1300017J02Rik	131	1300017J02Rik	17	1300017J02Rik	51	1300017J02Rik	43	1300017J02Rik	41
1300018I17Rik	782	1300018I17Rik	723	1300018I17Rik	687	1300018I17Rik	777	1300018I17Rik	571	1300018I17Rik	591	1300018I17Rik	646
1300018J18Rik	404	1300018J18Rik	329	1300018J18Rik	287	1300018J18Rik	352	1300018J18Rik	262	1300018J18Rik	280	1300018J18Rik	274
1500001M20Rik	195	1500001M20Rik	176	1500001M20Rik	169	1500001M20Rik	201	1500001M20Rik	228	1500001M20Rik	176	1500001M20Rik	198
1500002O10Rik	3	1500002O10Rik	4	1500002O10Rik	2	1500002O10Rik	0	1500002O10Rik	2	1500002O10Rik	0	1500002O10Rik	0
1500002O20Rik	948	1500002O20Rik	938	1500002O20Rik	896	1500002O20Rik	861	1500002O20Rik	755	1500002O20Rik	835	1500002O20Rik	837
1500003O03Rik	1716	1500003O03Rik	1786	1500003O03Rik	1805	1500003O03Rik	1822	1500003O03Rik	1517	1500003O03Rik	1666	1500003O03Rik	1504
